account_crm_id,company_name,website_domain,industry,employee_count,plan_type,created_at
ACC-1000,BrightPath Health,brightpathhealth.com,Education,40,Starter,2025-11-19 17:04:52
ACC-1001,BrightPath Systems,brightpathsystems.com,Manufacturing,10,Free,2025-07-25 09:09:22
ACC-1002,ClearBridge Software,clearbridgesoftware.com,E-commerce,10,Pro,2025-05-20 06:05:00
ACC-1003,PrimeWave Cloud,primewavecloud.com,Marketing,75,Enterprise,2024-10-10 22:53:20
ACC-1004,NorthPeak Logic,northpeaklogic.com,Manufacturing,120,Starter,2025-10-16 23:50:22
ACC-1005,ClearBridge Ops,clearbridgeops.com,Fintech,250,Free,2024-07-11 02:54:56
ACC-1006,CedarPoint Dynamics,cedarpointdynamics.com,SaaS,500,Growth,2026-01-09 15:32:22
ACC-1007,Greenfield Systems,greenfieldsystems.com,Education,120,Pro,2025-06-25 12:21:40
ACC-1008,CloudForge Labs,cloudforgelabs.com,Retail,75,Enterprise,2025-09-18 08:25:11
ACC-1009,Nova Analytics,novaanalytics.com,Education,500,Pro,2025-02-11 23:38:40
ACC-1010,CedarPoint Logic,cedarpointlogic.com,Logistics,40,Pro,2025-02-04 06:15:05
ACC-1011,CloudForge Logic,cloudforgelogic.com,Retail,25,Growth,2025-06-11 14:40:01
ACC-1012,Ironwood Software,ironwoodsoftware.com,Logistics,10,Starter,2025-10-06 11:42:45
ACC-1013,BlueRiver Ops,blueriverops.com,Education,15,Starter,2025-02-28 07:49:54
ACC-1014,Everstone Partners,everstonepartners.com,Marketing,250,Enterprise,2025-09-13 19:50:25
ACC-1015,Skyline Works,skylineworks.com,Healthcare,40,Pro,2024-11-14 11:18:08
ACC-1016,PrimeWave Dynamics,primewavedynamics.com,E-commerce,250,Enterprise,2025-11-23 22:55:29
ACC-1017,Greenfield Data,greenfielddata.com,Healthcare,1000,Growth,2024-10-10 02:00:47
ACC-1018,BlueRiver Analytics,blueriveranalytics.com,Healthcare,250,Pro,2024-08-19 10:44:48
ACC-1019,Greenfield Networks,greenfieldnetworks.com,Marketing,1000,Starter,2025-07-29 13:44:36
ACC-1020,PrimeWave Health,primewavehealth.com,Fintech,1000,Pro,2025-10-03 02:58:47
ACC-1021,Everstone Analytics,everstoneanalytics.com,Manufacturing,25,Growth,2024-12-06 16:49:01
ACC-1022,Ironwood Logic,ironwoodlogic.com,Fintech,75,Enterprise,2025-05-22 01:27:01
ACC-1023,Apex Partners,apexpartners.com,Logistics,25,Growth,2024-08-19 10:42:30
ACC-1024,Apex Health,apexhealth.com,Logistics,500,Free,2025-07-31 22:42:51
ACC-1025,CedarPoint Solutions,cedarpointsolutions.com,SaaS,40,Enterprise,2024-10-25 17:17:33
ACC-1026,CloudForge Systems,cloudforgesystems.com,Marketing,15,Enterprise,2025-11-12 05:19:28
ACC-1027,PrimeWave Works,primewaveworks.com,Marketing,1000,Starter,2024-07-31 10:58:06
ACC-1028,Apex Cloud,apexcloud.com,Cybersecurity,40,Pro,2024-10-04 05:46:57
